@War,,,,,,,,,,,,
Date,Result,Our Stars,Our Percentage,Enemy Stars,Enemy Percentage,War Size,Enemy Tag,,,,,
29/02/2016,Win,75,100,65,87.24,25,#P29VLCJG,,,,,
,,,,,,,,,,,,
@Clan,,,,,,,,,,,,
Rank,Player,War Weight,Enemy Rank,Stars 1,Percentage 1,Loot 1,Notes 1,Enemy 2 Rank,Stars 2,Percentage 2,Loot 2,Notes 2
1,caliburn,60000,1,3,100.00%,,,3,3,100.00%,,
2,Hot Guy SixPack,60000,2,3,100.00%,,,3,1,76.00%,,
3,rogé,56000,3,0,32.00%,,,2,3,100.00%,,
4,JL,53000,4,0,40.00%,,,7,3,100.00%,,
5,Qais,53000,8,3,100.00%,,cleaned up,6,1,67.00%,,
6,MeisterGod,52000,6,2,67.00%,,,9,2,77.00%,,
7,Assassin,52000,7,3,100.00%,,,5,3,100.00%,,
8,KingJ,50000,6,1,88.00%,,88%,9,3,100.00%,,cleanup
9,omglalaman,49000,4,1,50.00%,,Had issues with wallbreakers,9,2,77.00%,,"- Dropped clan castle instead of king - Still, no excuse, should have paid attention more to hogs"
10,Kirby,48000,10,3,100.00%,,,2,1,58.00%,1,
11,Bloodyskullz,48000,11,3,100.00%,,,1,,52.00%,1,
12,Isaac,48000,12,1,93.00%,,,13,3,100.00%,,
13,CALIBURN,47000,4,3,100.00%,,cleanup,6,3,100.00%,,cleanup
14,Tesla,47000,14,1,72.00%,,,20,3,100.00%,,
15,Grislee,46000,16,3,100.00%,,,4,1,50.00%,,
16,KCDub,45000,15,3,100.00%,,,12,3,100.00%,,cleanup
17,ahfew,43000,17,3,100.00%,,,14,3,100.00%,,
18,Mjorgi,40000,16,2,74.00%,,,11,1,80.00%,,
19,Lolo,39000,19,3,100.00%,,,21,3,100.00%,,
20,pandadotcom,39000,16,1,74.00%,,,18,3,100.00%,,
21,urworstnitemare,35000,21,1,68.00%,,,23,3,100.00%,,
22,REDevil!,31000,22,3,100.00%,,,8,1,68.00%,1,loot?
23,meagster,27000,24,3,100.00%,,,8,1,51.00%,1,loot?
24,2Pink,18000,25,3,100.00%,,,,,FALSE,,
25,Caliburn,18000,,,FALSE,,,,,FALSE,,
,,,,,,,,,,,,
@Enemy,,,,,,,,,,,,
Rank,War Weight,,,,,,,,,,,
1,62000,,,,,,,,,,,
2,60000,,,,,,,,,,,
3,60000,,,,,,,,,,,
4,53000,,,,,,,,,,,
5,53000,,,,,,,,,,,
6,53000,,,,,,,,,,,
7,52000,,,,,,,,,,,
8,51000,,,,,,,,,,,
9,51000,,,,,,,,,,,
10,50000,,,,,,,,,,,
11,49000,,,,,,,,,,,
12,49000,,,,,,,,,,,
13,48000,,,,,,,,,,,
14,48000,,,,,,,,,,,
15,48000,,,,,,,,,,,
16,46000,,,,,,,,,,,
17,45000,,,,,,,,,,,
18,39000,,,,,,,,,,,
19,39000,,,,,,,,,,,
20,36000,,,,,,,,,,,
21,34000,,,,,,,,,,,
22,28000,,,,,,,,,,,
23,20000,,,,,,,,,,,
24,19000,,,,,,,,,,,
25,18000,,,,,,,,,,,
